region,date,median,lower_90,upper_90,lower_50,upper_50,confidence
Monteregie,2020-01-30,1,1,1,1,1,1
Monteregie,2020-01-31,0.5,0,1,0,1,1
Monteregie,2020-02-01,0,0,1,0,0,1
Monteregie,2020-02-02,0,0,1,0,0,1
Monteregie,2020-02-03,0.5,0,1,0,1,1
Monteregie,2020-02-04,0,0,1,0,0,1
Monteregie,2020-02-05,0,0,1,0,0,1
Monteregie,2020-02-06,0,0,1,0,0,1
Monteregie,2020-02-07,0,0,1,0,0,1
Monteregie,2020-02-08,0,0,1,0,0,1
Monteregie,2020-02-09,0,0,1,0,0,1
Monteregie,2020-02-10,0,0,1,0,0,1
Monteregie,2020-02-11,0,0,1,0,0,1
Monteregie,2020-02-12,0,0,1,0,0,1
Monteregie,2020-02-13,0,0,1,0,0,1
Monteregie,2020-02-14,0,0,1,0,0,1
Monteregie,2020-02-15,0,0,1,0,0,1
Monteregie,2020-02-16,0,0,1,0,0,1
Monteregie,2020-02-17,0,0,1,0,0,1
Monteregie,2020-02-18,0,0,1,0,0,1
Monteregie,2020-02-19,0,0,1,0,0,1
Monteregie,2020-02-20,0,0,1,0,0,1
Monteregie,2020-02-21,0,0,1,0,0,1
Monteregie,2020-02-22,0,0,1,0,0,1
Monteregie,2020-02-23,0,0,2,0,0,1
Monteregie,2020-02-24,0,0,2,0,0,1
Monteregie,2020-02-25,1,0,2,0,1,1
Monteregie,2020-02-26,1,0,2,0,1,1
Monteregie,2020-02-27,1,0,3,0,1,1
Monteregie,2020-02-28,1,0,3,0,1,1
Monteregie,2020-02-29,1,0,4,0,1,1
Monteregie,2020-03-01,2,0,4,1,2,1
Monteregie,2020-03-02,2,0,5,0,2,1
Monteregie,2020-03-03,3,0,6,1,3,1
Monteregie,2020-03-04,3,0,7,2,4,1
Monteregie,2020-03-05,4,0,8,1,4,1
Monteregie,2020-03-06,5,0,9,2,5,1
Monteregie,2020-03-07,6,1,11,2,6,1
Monteregie,2020-03-08,7,1,12,4,8,1
Monteregie,2020-03-09,9,3,15,5,10,1
Monteregie,2020-03-10,11,4,18,8,13,1
Monteregie,2020-03-11,13,5,20,8,14,1
Monteregie,2020-03-12,15,7,24,11,17,1
Monteregie,2020-03-13,18,9,27,12,19,1
Monteregie,2020-03-14,22,11,31,15,23,1
Monteregie,2020-03-15,25,16,36,18,26,1
Monteregie,2020-03-16,29,18,40,24,32,1
Monteregie,2020-03-17,33,21,45,25,34,1
Monteregie,2020-03-18,37,25,48,30,40,1
Monteregie,2020-03-19,42,27,52,35,45,1
Monteregie,2020-03-20,45,31,57,39,49,1
Monteregie,2020-03-21,49,36,62,43,53,1
Monteregie,2020-03-22,53,39,67,48,59,1
Monteregie,2020-03-23,57,43,72,48,60,1
Monteregie,2020-03-24,62,45,76,54,66,1
Monteregie,2020-03-25,68,51,82,60,72,1
Monteregie,2020-03-26,73,58,89,66,78,1
Monteregie,2020-03-27,77,60,91,73,85,1
Monteregie,2020-03-28,81,66,97,71,83,1
Monteregie,2020-03-29,84,67,97,74,87,1
Monteregie,2020-03-30,86,71,102,75,88,1
Monteregie,2020-03-31,87,71,101,77,90,1
Monteregie,2020-04-01,88,73,105,81,94,1
Monteregie,2020-04-02,88,71,103,82,94,1
Monteregie,2020-04-03,90,71,104,83,96,1
Monteregie,2020-04-04,91,74,107,82,95,1
Monteregie,2020-04-05,95,78,111,87,101,1
Monteregie,2020-04-06,98,83,116,89,102,1
Monteregie,2020-04-07,101,84,118,91,105,1
Monteregie,2020-04-08,105,87,120,94,108,1
Monteregie,2020-04-09,107,88,122,99,112,1
Monteregie,2020-04-10,108,90,124,99,113,1
