region,date,median,lower_90,upper_90,lower_50,upper_50,confidence
Alberta,2020-01-22,1,1,1,1,1,1
Alberta,2020-01-23,0,0,0,0,0,1
Alberta,2020-01-24,0,0,0,0,0,1
Alberta,2020-01-25,1,0,1,1,1,1
Alberta,2020-01-26,0,0,1,0,0,1
Alberta,2020-01-27,0,0,1,0,0,1
Alberta,2020-01-28,1,0,1,1,1,1
Alberta,2020-01-29,0,0,0,0,0,1
Alberta,2020-01-30,0,0,1,0,0,1
Alberta,2020-01-31,0,0,1,0,0,1
Alberta,2020-02-01,0,0,1,0,0,1
Alberta,2020-02-02,0,0,1,0,0,1
Alberta,2020-02-03,0,0,1,0,0,1
Alberta,2020-02-04,0,0,1,0,0,1
Alberta,2020-02-05,0,0,1,0,0,1
Alberta,2020-02-06,0,0,1,0,0,1
Alberta,2020-02-07,0,0,1,0,0,1
Alberta,2020-02-08,0,0,1,0,0,1
Alberta,2020-02-09,0,0,1,0,0,1
Alberta,2020-02-10,0,0,1,0,0,1
Alberta,2020-02-11,0,0,1,0,0,1
Alberta,2020-02-12,0,0,1,0,0,1
Alberta,2020-02-13,0,0,1,0,0,1
Alberta,2020-02-14,0,0,1,0,0,1
Alberta,2020-02-15,0,0,1,0,0,1
Alberta,2020-02-16,0,0,2,0,0,1
Alberta,2020-02-17,1,0,2,0,1,1
Alberta,2020-02-18,1,0,2,0,1,1
Alberta,2020-02-19,1,0,3,0,1,1
Alberta,2020-02-20,1,0,3,0,1,1
Alberta,2020-02-21,1,0,3,0,1,1
Alberta,2020-02-22,2,0,4,1,2,1
Alberta,2020-02-23,2,0,5,0,2,1
Alberta,2020-02-24,2,0,5,0,2,1
Alberta,2020-02-25,3,0,7,2,4,1
Alberta,2020-02-26,4,0,8,1,4,1
Alberta,2020-02-27,5,0,9,3,6,1
Alberta,2020-02-28,6,2,11,4,7,1
Alberta,2020-02-29,8,3,13,5,9,1
Alberta,2020-03-01,9,2,14,5,10,1
Alberta,2020-03-02,11,4,17,6,11,1
Alberta,2020-03-03,13,6,20,8,14,1
Alberta,2020-03-04,15,7,22,10,16,1
Alberta,2020-03-05,17,10,26,13,19,1
Alberta,2020-03-06,20,10,28,15,22,1
Alberta,2020-03-07,23,13,32,18,25,1
Alberta,2020-03-08,26,16,35,19,27,1
Alberta,2020-03-09,30,18,38,23,31,1
Alberta,2020-03-10,33,24,44,28,36,1
Alberta,2020-03-11,37,26,48,30,39,1
Alberta,2020-03-12,41,28,51,35,44,1
Alberta,2020-03-13,45,32,56,36,46,1
Alberta,2020-03-14,48,35,59,42,51,1
Alberta,2020-03-15,52,39,63,44,54,1
Alberta,2020-03-16,55,41,67,48,58,1
Alberta,2020-03-17,58,45,71,51,61,1
Alberta,2020-03-18,61,48,74,54,65,1
Alberta,2020-03-19,65,52,78,58,68,1
Alberta,2020-03-20,67,54,82,58,69,1
Alberta,2020-03-21,70,56,84,62,73,1
Alberta,2020-03-22,72,57,85,66,76,1
Alberta,2020-03-23,75,61,89,68,79,1
Alberta,2020-03-24,77,62,90,70,82,1
Alberta,2020-03-25,80,65,93,73,84,1
Alberta,2020-03-26,82,68,97,74,86,1
Alberta,2020-03-27,85,68,99,78,90,1
Alberta,2020-03-28,87,70,100,78,90,1
Alberta,2020-03-29,88,73,105,80,93,1
Alberta,2020-03-30,89,72,106,79,93,1
Alberta,2020-03-31,91,71,108,81,96,1
Alberta,2020-04-01,95,74,115,83,99,1
Alberta,2020-04-02,100,76,121,91,109,1
Alberta,2020-04-03,108,81,129,98,116,1
Alberta,2020-04-04,118,93,143,108,128,1
Alberta,2020-04-05,130,101,151,114,135,1
Alberta,2020-04-06,142,115,166,130,150,1
Alberta,2020-04-07,156,127,180,145,165,1
Alberta,2020-04-08,169,146,195,158,178,1
Alberta,2020-04-09,180,154,202,167,187,1
Alberta,2020-04-10,191,166,210,182,200,1
Alberta,2020-04-11,199,173,221,185,205,1
